merchant_name,merchant_category,merchant_address,nearest_city,merchant_street,city,merchant_postal_code,country_code,merchant_phone_number,google_review_score,google_review_count,url,merchant_website,merchant_email,merchant_social_media,source,Recent_review,Cuisine_Type,Menu,Cost_per_two,Operating_Hours,Storelocations
Osteria Mozza,Restaurant,"Level 5, Hilton Singapore Orchard, 333 Orchard Road, Singapore 238867",Singapore,Orchard Road,Singapore,238867,SG,tel:+65 68316271,4.5,2000+,https://goo.gl/maps/ZdMtQo8sT4F6m1Jm7,osteriamozza.com.sg,Osteria.Mozza@hilton.com,@osteriamozzasingapore,"Google Maps, Official Website",“An unforgettable birthday celebration... every element of our dining experience was simply perfect. ... It's clear they take great pride in their service.”,Italian (Cal-Italian),https://osteriamozza.com.sg/assets/img/site_images/3rd-March-Dinner.pdf,S$160-240,Mon-Fri 12:00pm-2:30pm & 3:00pm-10:30pm, Sat-Sun 12:00pm-2:30pm & 5:00pm-10:30pm
Beans Factory (KOVAN),Dessert Shop,"211 Hougang Street 21, #01-291, Singapore 530211",Singapore,Hougang Street 21,Singapore,530211,SG,tel:+65 86786568,4.3,50+,https://goo.gl/maps/jxiC68k3c2mF4eEj9,,info.beansfactory@gmail.com,@beansfactory.singapore, Facebook: BeansFactorySG,"Google Maps, Social Media",“Delightful taro ball desserts that aren’t too sweet. Perfect treat to beat the heat!”,Desserts (Taiwanese),,S$15-20,Mon-Thu 12:30pm-10:30pm
Sarnies (Telok Ayer),Cafe,"136 Telok Ayer Street, Singapore 068601",Singapore,Telok Ayer Street,Singapore,68601,SG,tel:+65 82842146,4.4,1000+,https://goo.gl/maps/5AHYXiyEZEYJBG5z8,sarnies.com,hellosg@sarnies.com,@sarnies.sg,"Google Maps, Official Website","“Super tasty and flavorful beef stew with nice portions. Casual, cozy ambience and friendly staff. Can't wait to come back!”",Cafe (Western/Australian),,S$40-50,Mon-Fri 7:30am-10:30pm, Sat-Sun 8:30am-4:00pm
WeiGeng Sichuan Cuisine 味耕蜀味,Restaurant,"200 Victoria Street, #03-30D Bugis Junction, Singapore 188021",Singapore,Victoria Street,Singapore,188021,SG,tel:+65 65189888,4.5,100+,https://goo.gl/maps/6xzE5xuKYerq1Z8X9,,info@weigeng.sg,,"Google Maps, Official Website","“Clean and spacious, with polite and attentive staff. Offers a wide range of authentic Sichuan dishes—spicy and flavorful!”",Chinese (Sichuan),,S$50-60,Daily 11:00am-10:00pm,Single location
Chye Seng Huat Hardware,Cafe,"150 Tyrwhitt Road, Singapore 207563",Singapore,Tyrwhitt Road,Singapore,207563,SG,tel:+65 63960609,4.4,2000+,https://goo.gl/maps/ydNoLUZ7w39xnyUJ8,pppcoffee.com (Papa Palheta),cshh.online@pppcoffee.com,@pppcoffee,"Google Maps, Official Website","“Hidden gem for coffee lovers. Great coffee, cool vibes in a semi-secret courtyard – a must-visit cafe for a perfect coffee break.”",Cafe (Specialty Coffee),,S$30-40,Tue-Thu 9:00am-10:00pm, Fri-Sat 9:00am-12:00am
Chinatown Complex Food Centre,Hawker Centre,"335 Smith Street, Chinatown Complex, Singapore 050335",Singapore,Smith Street,Singapore,50335,SG,,4.3,3000+,https://goo.gl/maps/Z9g3qk3gggJwm1LZ6,,johorkaki@gmail.com,,"Google Maps, Singapore directory",“A food paradise with hundreds of hawker stalls. Huge variety of authentic local delights at very affordable prices.”,Hawker Centre (Various Local),,S$10-20,Daily 7:00am-10:00pm,Single location
Shukuu Izakaya & Sake Bar,Izakaya & Bar,"8 Stanley Street, Singapore 068727",Singapore,Stanley Street,Singapore,68727,SG,tel:+65 63279240,4.6,800+,https://goo.gl/maps/4z7aBks6gBjZYZC99,shukuuizakaya.com,info@shukuu.sg,@shukuuizakaya,"Google Maps, Official Website",“Authentic izakaya vibes with delicious yakitori and a fantastic sake selection. Lively atmosphere and great for unwinding.”,Japanese (Izakaya),,S$60-80,Mon-Fri 11:30am-2:00pm & 5:30pm-11:00pm, Sat-Sun 5:30pm-10:30pm
Maxwell Food Centre,Hawker Centre,"1 Kadayanallur Street, Singapore 069184",Singapore,Kadayanallur Street,Singapore,69184,SG,tel:+65 84448817,4.4,5000+,https://goo.gl/maps/FCuCUuHcrdQZhbCQ9,,contact@hawkerheroes.sg,,"Google Maps, Singapore directory",“Iconic hawker centre with many famous stalls. Amazing chicken rice and other local favorites – a must-stop for any foodie.”,Hawker Centre (Various Local),,S$10-20,Daily 8:00am-2:00am,Single location
KeiTaku Mazesoba (Marina Square),Restaurant,"6 Raffles Boulevard, #02-183 Marina Square, Singapore 039594",Singapore,Raffles Boulevard,Singapore,39594,SG,tel:+65 69085233,4.2,100+,https://goo.gl/maps/k5Lh1d3AXVC6ZQVK9,,info@keitakumazesoba.com,,"Google Maps, Official Website",“Tasty and unique mazesoba. Noodles were springy and well-coated in rich sauce. A satisfying twist on ramen – definitely worth a try.”,Japanese (Mazesoba),,S$30-40,Daily 11:00am-10:00pm,Two outlets: Marina Square
Beans Factory (The Woodleigh Mall),Dessert Shop,"11 Bidadari Park Drive, #B1-K43/44 The Woodleigh Mall, Singapore 367803",Singapore,Bidadari Park Drive,Singapore,367803,SG,tel:+65 63200129,4.5,20+,https://goo.gl/maps/ZPYp3N6kXi8jkpAn9,,beansfactory@gmail.com,@beansfactory.singapore, Facebook: BeansFactorySG,"Google Maps, Social Media","“Taiwanese dessert heaven – love the chewy taro balls and silky tau fu fah. Not overly sweet, just right!”",Desserts (Taiwanese),,S$15-20,Daily 11:30am-10:00pm
La Nonna (Holland Village),Restaurant,"26 Lorong Mambong, Holland Village, Singapore 277685",Singapore,Lorong Mambong,Singapore,277685,SG,tel:+65 64681982,4.2,300+,https://goo.gl/maps/FEvMaL7VxbKz53dTA,,info@lanonna.sg,,"Google Maps, Official Website",“Cozy Italian spot with yummy wood-fired pizzas and comforting pasta. A hidden gem in Holland Village for Italian food.”,Italian,,S$60-80,Daily 11:30am-10:00pm,Two outlets: Holland Village
Lola's Cafe (Simon Road),Cafe,"5 Simon Road, Singapore 545893",Singapore,Simon Road,Singapore,545893,SG,tel:+65 62840349,4.4,1000+,https://goo.gl/maps/h8oRKNFdGKgNMPXP9,lolascafe.com.sg,contact@lolascafe.com.sg,@lolascafesg,"Google Maps, Official Website","“Charming neighborhood cafe with great brunch options and desserts. Can get crowded on weekends, but the food is worth the wait!”",Cafe (Brunch),,S$40-50,Tue-Thu 10:00am-10:00pm, Fri-Sun 9:00am-10:00pm
Group Therapy (Cross Street Exchange),Cafe,"181 South Bridge Road, #01-05 Cross Street Exchange, Singapore 058743",Singapore,South Bridge Road,Singapore,58743,SG,tel:+65 62222554,4.3,200+,https://goo.gl/maps/27y8gysUuUuSpN6T9,grouptherapy.sg,hello@gtcoffee.com,@grouptherapycafe,"Google Maps, Official Website",“Lovely spot with good coffee and hearty brunch. The atmosphere is cozy – perfect for catching up with friends or getting some work done.”,Cafe (Brunch),,S$40-50,Mon-Thu 8:00am-6:00pm, Fri-Sat 8:00am-10:00pm
Elixir Coffee and Wine,Cafe/Bistro,"10 Jln Serene, #01-03, Singapore 258748 (Serene Centre)",Singapore,Jalan Serene,Singapore,258748,SG,tel:+65 69085547,4.5,100+,https://goo.gl/maps/ZGVLUUnGwVMdpRj97,,hello@elixircoffeeandwine.com,@elixir.sg,"Google Maps, Online review",“Excellent coffee in the morning and surprisingly great steaks at night. Stylish space that transitions from cozy cafe to chic wine bar.”,"Cafe by day, Bistro by night",,S$60-80,Tue-Thu 8:30am-10:00pm, Fri-Sat 8:30am-11:00pm
Peacock North Indian Cuisine (NEWest),Restaurant,"1 West Coast Drive, #01-87 NEWest, Singapore 128020",Singapore,West Coast Drive,Singapore,128020,SG,tel:+65 67179191,4.1,50+,https://goo.gl/maps/JxkLfLy5aiQbQFZKA,,info@PeacockRestaurant.com.sg,,"Google Maps, Official Website","“Authentic North Indian flavors. The curries were rich and aromatic, and the garlic naan was superb. Service was friendly and prompt.”",North Indian,,S$50-60,Daily 11:00am-10:00pm,Single location
Elijah Pies (Tanjong Pagar),Bakery/Cafe,"110 Tanjong Pagar Road, Singapore 088528",Singapore,Tanjong Pagar Road,Singapore,88528,SG,tel:+65 98559480,4.8,100+,https://goo.gl/maps/26LkGGHzFcDr8tJZ6,elijahpies.com,contact@elijahpies.com.sg,@elijahpies,"Google Maps, Official Website",“Gorgeous and delicious pies! Unique flavors that taste as good as they look. Perfect for a sweet treat – the Earl Grey pie is a must-try.”,Bakery/Cafe (Pies),,S$20-30,Mon-Wed 10:00am-6:00pm, Thu-Sun 10:00am-10:00pm
Hellu Coffee,Cafe,"14 Scotts Road, #01-07 Far East Plaza, Singapore 228213",Singapore,Scotts Road,Singapore,228213,SG,,4.7,50+,https://goo.gl/maps/Pi7Ao5DXy4TEj6hi9,,hellucoffee@gmail.com,,"Google Maps, Online review",“Minimalist cafe with excellent coffee and a calm vibe. The baristas are friendly and they make a great flat white. A nice quiet spot to relax.”,Cafe (Specialty Coffee),,S$20-30,Mon-Fri 8:00am-6:00pm, Sat 10:00am-4:00pm
