merchant_name,merchant_category,merchant_address,nearest_city,merchant_street,city,merchant_postal_code,country_code,merchant_phone_number,google_review_score,google_review_count,url,merchant_website,merchant_email,merchant_social_media,source,Recent_review,Cuisine_Type,Menu,Cost_per_two,Operating_Hours,Storelocations,
At.mosphere (Burj Khalifa),Fine Dining Restaurant,"Burj Khalifa, 122nd Floor, Downtown Dubai, UAE",Dubai,1 Sheikh Mohammed bin Rashid Blvd,Dubai,N/A,AE,971 4 888 3828,4.5,~2984,Google Maps,atmosphereburjkhalifa.com,at.mosphere@tohpr.com ,N/A,"insurancemarket.ae
​bestdubai.com","""The view is spectacular, and the food is delicious""​tripadvisor.com",International/European,Contemporary European fine dining (set menus & à la carte),AED 900+ (high-end),Daily 7:00 AM – 2:00 AM​insurancemarket.ae,"Single (Burj Khalifa, Downtown Dubai)",
Nobu Dubai (Atlantis),Fine Dining Restaurant,"Atlantis The Palm, Crescent Road, Palm Jumeirah, Dubai, UAE",Dubai,"Atlantis The Palm, Palm Jumeirah",Dubai,N/A,AE,+971 4 426 2626,4.5,~2144,Google Maps,nobudubai.com,info@babalshams.com,N/A,"bestdubai.com
​theluxeologist.com","""...serving up some of the finest Asian cuisine in Dubai, and we'd eagerly return.""​theluxeologist.com",Japanese-Peruvian,"Signature dishes like Black Cod Miso, sushi, etc.",AED 800+ (high-end),Daily 6:00 PM – 11:00 PM (dinner),"Single (Atlantis The Palm, Palm Jumeirah)",
Al Hadheerah (Bab Al Shams),Arabic Restaurant (Desert Dining),"Bab Al Shams Desert Resort, Al Qudra Road, Dubai, UAE",Dubai,"Al Qudra Road, Endurance City",Dubai,N/A,AE,+971 4 809 6194,4.7,~–,Google Maps,babalshams.com/dining/al-hadheerah,N/A,N/A,"travel-buddies.com
​tripadvisor.com","""This place is worth the trip out to the desert resort...""​tripadvisor.com",Middle Eastern (Emirati/Arabic buffet),Lavish Arabic buffet with live cooking and entertainment,AED 800 (buffet for two with show),Daily 6:30 PM – 11:00 PM (dinner only),"Single (Bab Al Shams Desert Resort, outskirts of Dubai)",
Pierchic,Fine Dining Seafood Restaurant,"Al Qasr Hotel, Madinat Jumeirah, Dubai, UAE",Dubai,"Al Sufouh Road, Madinat Jumeirah",Dubai,N/A,AE,+971 4 432 3232,4.2,1752,Google Maps,jumeirah.com,mesales@jumeirah.com,@pierchicdubai (Instagram),"bestdubai.com
​cntraveler.com","""Arguably the most romantic restaurant in Dubai.""​cntraveler.com",Italian & Seafood,Seafood-centric Italian fine dining,AED 800+,Daily 6:30 PM – 11:00 PM (dinner),"Single (Madinat Jumeirah, over-water pier)",
Zuma,Fine Dining Japanese Restaurant,"Gate Village 06, DIFC, Dubai 506620, UAE",Dubai,"Al Mustaqbal Street, DIFC",Dubai,506620,AE,+971 4 425 5660,4.4,2600+,Google Maps,zumarestaurant.com,zumadubai@zumarestaurant.com,@zumadubai (Instagram),"zumarestaurant.com
​en.tripadvisor.com.hk","""Very tasty food... excellently prepared... nothing to criticise.""​en.tripadvisor.com.hk",Japanese (Izakaya),"Sushi, sashimi, robata grill, modern Japanese dishes",AED 600–700,"Lunch & Dinner (12:00–16:00, 19:00–00:00)","Single (DIFC, Dubai)",
La Petite Maison (LPM),Fine Dining Restaurant,"Gate Village 08, DIFC, P.O. Box 506711, Dubai, UAE",Dubai,"Gate Village 08, DIFC",Dubai,506711,AE,+971 4 439 0505,4.5,2597,Google Maps,lpmrestaurants.com/dubai,info@lpmdubai.ae,@lpmrestaurants (Instagram),"lpmrestaurants.com
​bestdubai.com","""...light, flavorful dishes and sophisticated atmosphere.""​bestdubai.com",French Mediterranean,"French-Mediterranean dishes (burrata, escargots, etc.)",AED 500+,"Mon-Thu 12:00–15:30, 18:00–23:30; Fri-Sun times vary​lpmrestaurants.com","Single (DIFC, Dubai)",
COYA Dubai,Fine Dining Restaurant & Lounge,"Restaurant Village, Four Seasons Resort, Jumeirah 2, Dubai, UAE",Dubai,"Jumeirah Beach Road, Jumeirah 2",Dubai,N/A,AE,+971 4 316 9600,4.5,3007,Google Maps,coyarestaurant.com,reservations@coyarestaurant.ae ,@coyadubai (Instagram),bestdubai.com,"""Sophisticated ambiance, innovative cuisine... a must-visit."" (review snippet)",Peruvian,"Contemporary Peruvian (ceviches, tacos, grills)",AED 600+,Daily 6:30 PM – 12:30 AM, Brunch on weekends,Single (Four Seasons Resort Jumeirah)
Hakkasan Dubai,Fine Dining Chinese Restaurant,"Atlantis The Palm, Crescent Rd, Palm Jumeirah, Dubai, UAE",Dubai,"Atlantis The Palm, Palm Jumeirah",Dubai,N/A,AE,+971 4 426 2626,4.5,763,Google Maps,atlantis.com/dubai/restaurants/hakkasan,dxb-info@atlantisdubai.com,@hakkasandxb (Instagram),bestdubai.com,"""Exquisite Cantonese dishes in an ornate setting."" (review summary)",Cantonese/Chinese,"Modern Cantonese (dim sum, Peking duck, etc.)",AED 600+,Daily 6:00 PM – 11:30 PM (dinner),"Single (Atlantis The Palm, Palm Jumeirah)",
Trèsind Studio,Fine Dining Indian Restaurant,"Nakheel Mall Rooftop, Palm Jumeirah, Dubai, UAE",Dubai,"Nakheel Mall, Palm Jumeirah",Dubai,N/A,AE,+971 58 895 1272,5,330,Google Maps,tresindstudio.com,tresindstudio@passionfandb.com,@tresindstudio (Instagram),bestdubai.com,"""A truly avant-garde Indian dining experience."" (customer review)",Modern Indian (Tasting Menu),Seasonal multi-course tasting menu,AED 1500 (tasting for two),Tue–Sun 6:00 PM – 11:00 PM (closed Mon),"Single (Palm Jumeirah, Dubai)",
STK Dubai,Steakhouse & Lounge Bar,"Address Downtown Hotel, Downtown Dubai, UAE",Dubai,"Mohammed bin Rashid Blvd, Downtown",Dubai,N/A,AE,+971 4 425 3948,4.3,~1200,Google Maps,stkdubai.com,info@solutions-leisure.com,@stkdubaidowntown,TripAdvisor reviews,"""Great vibe and juicy steaks, but on the pricey side."" (review)",American Steakhouse,"Premium steaks, grills, and sides",AED 700+,Daily 6:00 PM – Midnight,Multiple (Downtown Dubai, JBR Dubai)
