merchant_name,merchant_category,merchant_address,nearest_city,merchant_street,city,merchant_postal_code,country_code,merchant_phone_number,google_review_score,google_review_count,url,merchant_website,merchant_email,merchant_social_media,source,Recent review,Cuisine Type,Menu,Cost per two,Operating Hours,Storelocations
CHAGEE Singapore,Food and Beverage,"154 West Coast Road, #02-01 West Coast Plaza Singapore",Clementi,West Coast Road,Singapore,127371,SG,400-878-8359,4.3,15,https://sgmyfoodie.com/chagee-menu-singapore/,https://sgmyfoodie.com/chagee-menu-singapore/,lawrence.wen@chagee.com,https://www.instagram.com/chagee.sg/,APOLLO,"A customer mentioned that the staff is friendly and knowledgeable, recommending the White Peach Oolong Latte as a must-try","Bubble Tea, Fruit Tea, Dessert ","Fresh Milk Teas: Tie Guan Yin Latte, Da Hong Pao Latte, White Peach Oolong Latte, Cold Brew Teas: Cold Brew Tie Guan Yin Tea, Oriental Beauty, Fresh Fruit Teas: CHAGEE Signature Fruit Tea, Fresh Passion Fruit Da Hong Pao, Fresh Brews: Glutinous Green Tea, Da Hong Pao",Approximately S$5 - S$10 per person,Daily from 10:00 AM to 9:30 PM,11
Perfer,Food and Beverage,47 Hong San Walk Choa Chu Kang 689038,Choa Chu Kang,Hong San Walk,Singapore,689038,SG,+65 8904 3661,4,20,https://cnalifestyle.channelnewsasia.com/dining/prefer-bean-free-coffee-alternative-381681,https://cnalifestyle.channelnewsasia.com/dining/prefer-bean-free-coffee-alternative-381681,jake@prefer.bio,https://www.instagram.com/prefercoffeesg/,APOLLO,"Bean-free coffee? Coffee enthusiasts might balk at the idea, but there’s a good reason to launch their own beanless coffee brand, Prefer",specializes in coffee products and equipment.,"Prefer oat milk latte, Latte, Espresso",Approximately S$5 - S$10 per person,Daily from 10:00 AM to 9:30 PM,14
TimHortons,Food and Beverage,"1 HarbourFront Walk, #01-207 VivoCity, Singapore", HarbourFront, HarbourFront Walk,Singapore,98585,SG,6531655325,4,2,https://www.instagram.com/timhortonssg/,https://www.instagram.com/timhortonssg/,vpunj@whopper.com,https://www.instagram.com/timhortonssg/,APOLLO,It is known to use 100% Premium Arabica beans that are responsibly sourced. ,"Coffeehouse offering beverages, baked goods, and light meals","Beverages: Signature coffees, lattes (e.g., Maple Cinnamon Latte), Iced Capps, and teas, Baked Goods: Donuts (e.g., Maple Salted Caramel Donut), Timbits (bite-sized donuts), cakes, and tarts., Savoury Items: Sourdough melts with fillings like Maple Glazed Chicken Ham & Cheese and Truffle Mushroom.","Approximately S$20 to S$30,",8am - 11pm,11
Grain,Food and Beverage,"5 Burn Road, #05-01, Tee Yih Jia Food Building, Singapore",,Burn Road,Singapore,369972,SG,6531635335,4.3,205,https://grain.com.sg/,https://grain.com.sg/,sung@grain.com.sg,,APOLLO,Delivery on time and always enough portion to feed everyone. Generally taste good for every dishes and most of the dishes are healthier in general foodline,Grain offers a variety of meals on demand and catering options,Online food ordering and catering services,,"Lunch: 10:30AM to 1:30PM, Dinner 5:30pm to 7:30pm",operates primarily through online platforms
Paris Baguette,Food and Beverage,"16 Tai Seng Street, #01-01/02, Singapore",Tai Seng Street,Tai Seng Street,Singapore,534138,SG,6531645334,4.2,100,https://www.parisbaguette.com.sg/,https://www.parisbaguette.com.sg/,daphne.wong@parisbaguette.com.sg,https://www.instagram.com/parisbaguette_sg/,APOLLO,"Indulge in a lazy afternoon with its brunch items, the best seller being the Cheese Omelette With A Difference ($18.00, and what a name). The omelette with spinach, gruyere and feta cheese is quite cheesy and yummy, plain in its own way, and heartily satisfying",Bakery and caf offering French-inspired baked goods and light meals,"artisanal pastries, cakes, salads, sandwiches, and beverages such as coffee and tea",Approximately S$20 to S$40,8am-10pm,12
KindKones,Food and Beverage,"583 Orchard Road, #B1-27, Forum The Shopping Mall, Singapore",Orchard,Orchard Street,Singapore,238884,SG,+65 9010 8557,4.5,10,https://kindkones.com/,https://kindkones.com/,shubham@kindkones.com,https://www.instagram.com/kindkones_sg/,APOLLO,Kind Kones: Guilt-Free Ice Cream So Good You Would Never Have Known It’s Vegan At Orchard Road,Vegan desserts and ice cream,"vegan ice cream flavors, including Almond Brittle Fudge, Black Forest, and Blue Planet. They also serve cakes, bliss balls, cookies, and breakfast items",Approximately S$10 to S$20,Daily from 10:00 AM to 9:30 PM,3
Cherki,Food and Beverage,"1 Straits Boulevard, Singapore Chinese Cultural Centre #01-02, Singapore",Straits Boulevard,Straits Boulevard,Singapore,18906,SG,+65 6514 8345,4,4,https://www.cherki.sg/,https://www.cherki.sg/,Enquiries@cherki.sg,https://www.instagram.com/cherki_sg/,OpenAIAPI,"Try ang mo kio, bak chor mee etcSEARCH",Modern Peranakan fusion,"Small Bites: Truffle Popiah, Chilli Beef Rendang Fries, Mains: Laksa Lobster Linguine, Pangium Beef Wellington, Baba Back Ribs, Desserts: Kaya and Gula Melaka Tiramisu",Approximately S$70 to S$100,12:00 PM - 2:30 PM | 5:00 PM - 10:00 PM,1
Bochinche,Food and Beverage,"27 Club Street, Singapore",Club Street,Club Street,Singapore,69413,SG,+65 6235 4990,4,225,https://www.bochinche.com.sg/,https://www.bochinche.com.sg/,enquiries@bochinche.com.sg,https://www.instagram.com/bochinche_sg/,OpenAIAPI,"the Sea Bass Ceviche as refreshing and the steaks as delicious, with the Rib Eye being particularly noteworthy",Argentinian Steakhouse,"Starters: Sea Bass Ceviche, Provoleta (grilled provolone cheese), Mains: Various cuts of charcoal-grilled steaks, such as Rib Eye and Sirloin, as well as other Argentinian specialties., Desserts: 'Dulce de leche' crme brle.",Approximately S$160 to S$200,"Lunch: 11:30 AM - 3:00 PM, Dinner: 6:00 PM – 11:00 PM",1
Lolla,Food and Beverage,"22 Ann Siang Road, Singapore",Ann Siang Road,Ann Siang Road,Singapore,69702,SG,+65 6423 1228,4.5,440,https://lolla.com.sg/,https://lolla.com.sg/,info@lolla.com.sg,https://www.instagram.com/lollasg/,OpenAIAPI,"innovative Mediterranean restaurant,"" praising the ""robust flavours"" and ""casual dining ambience.""",Mediterranean-inspired small plates.,"Starters: House-Marinated Mixed Olives, Toasted Sourdough with Kombu Butter., Vegetables: San Marzano Tomato with Burrata, Duck Fat Potatoes., Meat: Grilled Iberico Secreto, Glazed Lamb Shoulder., Seafood: Tuna Belly ""Chutoro"" Carpaccio, Grilled Octopus., Desserts: Doughnuts with Lemon Curd, Burnt Cheesecake.",Approximately S$160 to S$200,"Lunch: 12:00 PM - 2:30 PM, Dinner: 6:00 PM - 11:00 PM",1
Seroja,Food and Beverage,"7 Fraser Street, #01-30/31/32/33, DUO Galleria, Singapore",Fraser Street,Fraser Street,Singapore,189356,SG,+65 8522 2926,4,4,https://seroja.sg/,https://seroja.sg/,kevinwong@seroja.sg,https://www.instagram.com/seroja.sg/,APOLLO,"""wonderful dinner,""",Modern interpretations of Malay Archipelago cuisine,"mangrove wood-charred scallops, silver pomfret in sambal gulai, and jasmine tea-infused duck broth",Approximately S$576++,Dinner: 6:00 PM - 11:00 PM,1
Nae:UM,Food and Beverage,"161 Telok Ayer Street, Singapore",Telok Ayer Street,Telok Ayer Street,Singapore,68615,SG,+65 8830 5016,4,12,https://naeum.sg/,https://naeum.sg/,info@naeum.sg,https://www.instagram.com/naeum.sg/,OpenAIAPI,"superb seasonal Korean fusion food,"" highlighting the ""excellent"" taste, texture, freshness, and plating, as well as the ""tiptop service.""",Contemporary Seoul cuisine.,"Snacks: Nanjawanse galbi, yangjangpi, charred cuttlefish, autumn vegetables, caviar., Memilmyeon: Buckwheat, white kimchi, o-hyang jangyuk.,Chunbing: Potato crepe, kimchi sabayon, pork cheek., Gwanja deopbap: Hokkaido scallops, morel, mushroom gravy., Dragon eye: White fungus, yuja, ginger.,Jeonbyung: Jujube, truffle, white chocolate",Approximately S$436++,"Dinner: 6:00 PM – 10:30 PM, Lunch: 12:00 PM - 3:00 PM",1
JINJJA CHICKEN,Food and Beverage,"201 Victoria Street, #01-11, Bugis Plus, Singapore",Bugis,Bugis,Singapore,188067,SG,+65 6837 0937,4.5,78,https://www.jinjjachicken.com/,https://www.jinjjachicken.com/,joy@jinjjachicken.com,https://www.instagram.com/jinjjachicken/?hl=en,APOLLO, fried chicken and the variety of Korean dishes offered are great and tasty,Korean fast-casual,"Korean Fried Chicken: Available in flavors such as Soy Garlic, Yangnyeom (sweet and spicy), and Monster (extra spicy)., Noodles: Jjampong (Spicy Seafood Noodles), Jjajang Myeon (Black Bean Noodles), Rabokki (Tteokbokki Noodles)., Rice & Kimbap: Wings Bap, Drumsticks Bap, Bibimbap (Chicken or Beef), Chicken Kimbap, Bulgogi Beef Kimbap., Burgers & Salads: Chicken Burger, Bulgogi Beef Burger, Kimchi Tofu Burger, Tofu Bibimsalad, Chicken Bibimsalad., Sides: Seasalt Fries, Tteokbokki Fries, Seaweed Tofu, Kimchi, Mozzarella Cheese Sticks, Seafood Mandu. ",Approximately S$20 to S$40,11:00 AM - 9:30 PM,7
Rise Restaurant,Food and Beverage,"10 Bayfront Avenue, Lobby, Hotel Tower 1, Singapore", Marina Bay Sands, Marina Bay Sands,Singapore,18956,SG,+65 6688 5525,4.5,2340,https://www.marinabaysands.com/restaurants/rise.html,https://www.marinabaysands.com/restaurants/rise.html,naveen.nair@marinabaysands.com,https://www.instagram.com/marinabaysands/,APOLLO,"BEST BUFFET IN SG,",International buffet with a focus on Southeast Asian delicacies,"lavish buffet featuring a variety of international cuisines, including fresh seafood, Southeast Asian specialties, and a selection of desserts",Approximately S$144++ to S$244++,"Breakfast (Daily): 6:30 AM - 10:15 AM (last seating), First seating: 12:00 PM - 1:45 PM (last seating), Second seating: 2:15 PM - 3:30 PM (last seating), 5:00 PM – 10:15 PM (last seating)",1
Marcy's Restaurant,Food and Beverage,"39-40 Duxton Road, Singapore ",Duxton road,Duxton road,Singapore,89503,SG,+65 9012 3747,4.5,11,https://www.marcys.sg/,https://www.marcys.sg/,tonghann@marcys.sg,https://www.instagram.com/marcys.sg/,APOLLO,"seafood-focused restaurant with an eclectic fusion of styles, combining modern sophistication with the intimate charm of a speakeasy",Modern seafood with international influences,"Pacific Amberjack Tiradito: Avruga Caviar, Sundream Tomato., Southern Bluefin Tuna Crudo: Escabeche Granita, Yuzu, Seagrapes., Marcy's Crab Toast: Anchovy Mascarpone, Umami Butter, Brioche., Monkfish Foie Parfait: Golden Flat Bread, Spiced Nuts, Tea Grapefruit., Rigatoni: Red Wine-braised Octopus, Spring Onion Crumbs., Mafaldine: Raw Prawn Crudo, Fried Spot Prawn, Lime Leaf.",Approximately S$100 to S$150,5:30 PM - 12:00 AM,1
